"donor1_day0" "donor1_day1" "donor1_day2" "donor1_day3" "donor1_day4" "donor1_day5" "donor1_day8" "donor1_day14" "donor2_day0" "donor2_day1" "donor2_day2" "donor2_day3" "donor2_day4" "donor2_day5" "donor2_day8" "donor2_day14" "donor3_day0" "donor3_day1" "donor3_day2" "donor3_day3" "donor3_day4" "donor3_day5" "donor3_day8" "donor3_day14"
"BVRF2" 3 36.936 42.026 83.199 55.322 52.772 201.662 23.335 0 45.574 7.422 39.784 21.971 35 35.938 32 3 17.659 19.534 31.694 30.679 101.756 29.151 13
"BWRF1" 384 56991.686 20139.314 16654.111 10206.929 12300.771 30934.273 9199.657 296 43057.365 18629.901 13563.593 16323.097 15379.707 10738.454 11209.26 179 36166.197 12354.949 7178.493 3876.947 14567.741 7282.984 6532.157
"BXLF1" 0 9 65 68 36.979 59.081 167.446 34.978 0 27.086 47.766 40.588 41.04 34 31.995 28 0 49.004 35 45.213 50.128 38.932 32 27
"BXLF2" 0 33 105.733 124.288 94.243 98.888 286.575 55.946 2 47.172 96.695 67.244 64.976 77.754 74 54.236 1 49.44 58.217 75.787 79.103 115.074 84.345 53
"BXRF1" 0 9 11.267 16 11 6.009 41.587 7 0 9.742 7.54 6.267 3 8.065 22.005 2 1 11 10.01 19.22 15.154 19.336 16.981 5
"BZLF1" 0 11 7 31 20 32 49 9 0 9 21 3 14 10 18 21 0 6 7 4 38 9 19.017 26
"BZLF2" 7.061 199.388 547.275 454.961 250.259 236.415 474.751 141.244 6.772 228.364 262.033 291.242 301.349 255.667 230.316 104.962 2.885 315.594 528.009 296.408 269.848 334.707 205.761 217.931
"EBNA-1" 39 792.016 2255.943 1884.811 1392.08 1333.069 3038.733 981.622 27 1667.509 1620.126 1840.829 1630.839 1511.92 1326.429 1266 20 1753.812 1857 1700 1338.583 1710.367 1093.118 1691.588
"EBNA-2" 193.987 32749.607 12328.634 5796.666 3729.886 3147.577 10279.295 3463.201 129.129 15105.667 9490.273 4837.386 5093.892 3477.32 3640.136 4444.42 101 18310.128 9645.572 3776.726 3116.006 5073.795 3060.012 3499.899
"EBNA-3A" 11 402.99 1276.189 897.618 592.802 540.64 968.824 280 11 588.374 676.039 662.594 556 478.821 430.432 285 14 669.571 1027.815 676 634.019 803.822 405.419 315
"EBNA-3B/EBNA-3C" 51.939 994.618 2594.421 1858.522 1423.351 1122.157 2581.276 749.974 33.228 1312.482 1498.747 1474.327 1424.831 1128.945 1291.256 714.814 28.115 1360.41 2305.32 1745.57 1761.809 1636.081 1041.544 747.067
"EBNA-LP" 160.029 16670.233 10216.076 5784.881 3757.069 3805.499 8669.33 3115.541 118.871 9095.844 7762.948 4954.131 4760.742 3691.14 3664.653 3633.824 82.015 10855.132 7588.109 3800.475 4598.816 5959.531 3458.326 2944.701
"LF1" 0 6 0 2 0 0 0 1 0 5.998 0 2 0 0 0 1 1 0 0 0 0 2 0 1
"LF2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"LF3" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"LMP-1" 9 40 499 217 177 521 1762.97 629 1 34 173 201 97 132 130.29 630 5 35 350 286 180 526 158.969 408
"LMP-2A" 0 0 139.632 36.013 51.711 77.889 228.256 117.695 13 0 51.967 85.629 82.985 32.57 45.811 112.081 5 15.606 58.885 73.323 29.475 142.446 71.954 139.1
"LMP-2B" 3 3 0 86.86 41.301 0 19.357 0 0 18 24.031 0 0 25.066 24.673 0 0 0 58.893 66.439 53.075 23.998 0 0
"RPMS1" 0 0 0 1.493 0 0 0 4.109 0 2.461 0 0 4.839 0 6.379 0 0 0 0 8.683 0 11.999 0 0
